Date,Description,Category,Amount,Account
2023-01-05,Safeway #1247,Groceries,-142.38,Amex Gold
2023-01-08,Shell Gas Station,Transportation,-68.50,Chase Sapphire Reserve
2023-01-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-01-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-01-12,Comcast Internet/TV,Utilities,-189.99,BofA Checking
2023-01-15,State Farm Auto Insurance,Insurance,-285.00,BofA Checking
2023-01-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-01-18,Costco Wholesale #482,Groceries,-387.62,Amex Gold
2023-01-20,Din Tai Fung Bellevue,Dining,-128.45,Amex Gold
2023-01-22,Amazon.com,Shopping,-234.99,Chase Sapphire Reserve
2023-01-25,Puget Sound Energy,Utilities,-142.30,BofA Checking
2023-01-28,Netflix Subscription,Subscriptions,-22.99,Chase Sapphire Reserve
2023-01-30,PetSmart #1089,Pets,-67.45,Chase Sapphire Reserve
2023-03-15,Kumon Math - Emma,Education,-160.00,BofA Checking
2023-03-22,REI Co-op,Shopping,-189.50,Chase Sapphire Reserve
2023-04-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-04-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-04-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-04-18,Overlake Medical Center,Healthcare,-45.00,Chase Sapphire Reserve
2023-04-22,Home Depot #4512,Home Maintenance,-312.78,Chase Sapphire Reserve
2023-06-20,Alaska Airlines - SEA to HNL,Travel,-2840.00,Chase Sapphire Reserve
2023-06-22,Hyatt Regency Maui,Travel,-1890.00,Chase Sapphire Reserve
2023-06-25,Mama's Fish House Maui,Dining,-285.00,Amex Gold
2023-07-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-07-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-07-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-07-18,Trader Joe's #187,Groceries,-98.42,Amex Gold
2023-07-22,Spotify Family Plan,Subscriptions,-16.99,Chase Sapphire Reserve
2023-08-28,Bellevue School District,Education,-450.00,BofA Checking
2023-09-05,Charitable Giving - United Way,Charitable Giving,-500.00,BofA Checking
2023-10-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-10-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-10-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-10-20,Premera Blue Cross,Healthcare,-380.00,BofA Checking
2023-11-24,Best Buy #562,Shopping,-899.99,Chase Sapphire Reserve
2023-12-05,Nordstrom,Shopping,-542.30,Chase Sapphire Reserve
2023-12-10,Amazon.com Holiday,Shopping,-1245.67,Chase Sapphire Reserve
2023-12-15,Charitable Giving - Children's Hospital,Charitable Giving,-1000.00,BofA Checking
2023-12-20,Delta Airlines - SEA to SFO,Travel,-680.00,Chase Sapphire Reserve
2023-12-22,Safeway #1247,Groceries,-198.45,Amex Gold
2024-01-10,Employer Direct Deposit - James,Income,10800.00,BofA Checking
